"link","word","l1","l2","l3","l4","l5"
"https://kbbi.kemdikbud.go.id/entri/ambat","ambat","a","m","b","a","t"
"https://kbbi.kemdikbud.go.id/entri/ambau","ambau","a","m","b","a","u"
"https://kbbi.kemdikbud.go.id/entri/ambeg","ambeg","a","m","b","e","g"
"https://kbbi.kemdikbud.go.id/entri/ambek","ambek","a","m","b","e","k"
"https://kbbi.kemdikbud.go.id/entri/amben","amben","a","m","b","e","n"
"https://kbbi.kemdikbud.go.id/entri/amber","amber","a","m","b","e","r"
"https://kbbi.kemdikbud.go.id/entri/ambet","ambet","a","m","b","e","t"
"https://kbbi.kemdikbud.go.id/entri/ambil","ambil","a","m","b","i","l"
"https://kbbi.kemdikbud.go.id/entri/ambin","ambin","a","m","b","i","n"
"https://kbbi.kemdikbud.go.id/entri/amboi","amboi","a","m","b","o","i"
"https://kbbi.kemdikbud.go.id/entri/ambon","ambon","a","m","b","o","n"
"https://kbbi.kemdikbud.go.id/entri/ambua","ambua","a","m","b","u","a"
"https://kbbi.kemdikbud.go.id/entri/ambuh","ambuh","a","m","b","u","h"
"https://kbbi.kemdikbud.go.id/entri/ambul","ambul","a","m","b","u","l"
"https://kbbi.kemdikbud.go.id/entri/ambur","ambur","a","m","b","u","r"
"https://kbbi.kemdikbud.go.id/entri/amdal","amdal","a","m","d","a","l"
"https://kbbi.kemdikbud.go.id/entri/ameba","ameba","a","m","e","b","a"
"https://kbbi.kemdikbud.go.id/entri/amida","amida","a","m","i","d","a"
"https://kbbi.kemdikbud.go.id/entri/amido","amido","a","m","i","d","o"
"https://kbbi.kemdikbud.go.id/entri/amien","amien","a","m","i","e","n"
"https://kbbi.kemdikbud.go.id/entri/amina","amina","a","m","i","n","a"
"https://kbbi.kemdikbud.go.id/entri/amino","amino","a","m","i","n","o"
"https://kbbi.kemdikbud.go.id/entri/amorf","amorf","a","m","o","r","f"
"https://kbbi.kemdikbud.go.id/entri/amosi","amosi","a","m","o","s","i"
"https://kbbi.kemdikbud.go.id/entri/ampah","ampah","a","m","p","a","h"
"https://kbbi.kemdikbud.go.id/entri/ampai","ampai","a","m","p","a","i"
"https://kbbi.kemdikbud.go.id/entri/ampak","ampak","a","m","p","a","k"
"https://kbbi.kemdikbud.go.id/entri/ampar","ampar","a","m","p","a","r"
"https://kbbi.kemdikbud.go.id/entri/ampas","ampas","a","m","p","a","s"
"https://kbbi.kemdikbud.go.id/entri/ampat","ampat","a","m","p","a","t"
"https://kbbi.kemdikbud.go.id/entri/ampau","ampau","a","m","p","a","u"
"https://kbbi.kemdikbud.go.id/entri/ampek","ampek","a","m","p","e","k"
"https://kbbi.kemdikbud.go.id/entri/ampel","ampel","a","m","p","e","l"
"https://kbbi.kemdikbud.go.id/entri/ampen","ampen","a","m","p","e","n"
"https://kbbi.kemdikbud.go.id/entri/ampik","ampik","a","m","p","i","k"
"https://kbbi.kemdikbud.go.id/entri/ampil","ampil","a","m","p","i","l"
"https://kbbi.kemdikbud.go.id/entri/ampis","ampis","a","m","p","i","s"
"https://kbbi.kemdikbud.go.id/entri/ampit","ampit","a","m","p","i","t"
"https://kbbi.kemdikbud.go.id/entri/ampog","ampog","a","m","p","o","g"
"https://kbbi.kemdikbud.go.id/entri/ampok","ampok","a","m","p","o","k"
"https://kbbi.kemdikbud.go.id/entri/ampon","ampon","a","m","p","o","n"
"https://kbbi.kemdikbud.go.id/entri/ampos","ampos","a","m","p","o","s"
"https://kbbi.kemdikbud.go.id/entri/ampuh","ampuh","a","m","p","u","h"
"https://kbbi.kemdikbud.go.id/entri/ampuk","ampuk","a","m","p","u","k"
"https://kbbi.kemdikbud.go.id/entri/ampul","ampul","a","m","p","u","l"
"https://kbbi.kemdikbud.go.id/entri/ampun","ampun","a","m","p","u","n"
"https://kbbi.kemdikbud.go.id/entri/amput","amput","a","m","p","u","t"
"https://kbbi.kemdikbud.go.id/entri/amril","amril","a","m","r","i","l"
"https://kbbi.kemdikbud.go.id/entri/amsal","amsal","a","m","s","a","l"
"https://kbbi.kemdikbud.go.id/entri/amuba","amuba","a","m","u","b","a"
"https://kbbi.kemdikbud.go.id/entri/amung","amung","a","m","u","n","g"
"https://kbbi.kemdikbud.go.id/entri/anang","anang","a","n","a","n","g"
"https://kbbi.kemdikbud.go.id/entri/anani","anani","a","n","a","n","i"
"https://kbbi.kemdikbud.go.id/entri/anbia","anbia","a","n","b","i","a"
"https://kbbi.kemdikbud.go.id/entri/ancai","ancai","a","n","c","a","i"
"https://kbbi.kemdikbud.go.id/entri/ancak","ancak","a","n","c","a","k"
"https://kbbi.kemdikbud.go.id/entri/ancam","ancam","a","n","c","a","m"
"https://kbbi.kemdikbud.go.id/entri/ancoa","ancoa","a","n","c","o","a"
"https://kbbi.kemdikbud.go.id/entri/ancol","ancol","a","n","c","o","l"
"https://kbbi.kemdikbud.go.id/entri/ancuk","ancuk","a","n","c","u","k"
"https://kbbi.kemdikbud.go.id/entri/ancul","ancul","a","n","c","u","l"
"https://kbbi.kemdikbud.go.id/entri/andai","andai","a","n","d","a","i"
"https://kbbi.kemdikbud.go.id/entri/andak","andak","a","n","d","a","k"
"https://kbbi.kemdikbud.go.id/entri/andal","andal","a","n","d","a","l"
"https://kbbi.kemdikbud.go.id/entri/andam","andam","a","n","d","a","m"
"https://kbbi.kemdikbud.go.id/entri/andan","andan","a","n","d","a","n"
"https://kbbi.kemdikbud.go.id/entri/andap","andap","a","n","d","a","p"
"https://kbbi.kemdikbud.go.id/entri/andar","andar","a","n","d","a","r"
"https://kbbi.kemdikbud.go.id/entri/andek","andek","a","n","d","e","k"
"https://kbbi.kemdikbud.go.id/entri/ander","ander","a","n","d","e","r"
"https://kbbi.kemdikbud.go.id/entri/andik","andik","a","n","d","i","k"
"https://kbbi.kemdikbud.go.id/entri/andil","andil","a","n","d","i","l"
"https://kbbi.kemdikbud.go.id/entri/andir","andir","a","n","d","i","r"
"https://kbbi.kemdikbud.go.id/entri/andoi","andoi","a","n","d","o","i"
"https://kbbi.kemdikbud.go.id/entri/andok","andok","a","n","d","o","k"
"https://kbbi.kemdikbud.go.id/entri/anduh","anduh","a","n","d","u","h"
"https://kbbi.kemdikbud.go.id/entri/anduk","anduk","a","n","d","u","k"
"https://kbbi.kemdikbud.go.id/entri/andun","andun","a","n","d","u","n"
"https://kbbi.kemdikbud.go.id/entri/andur","andur","a","n","d","u","r"
"https://kbbi.kemdikbud.go.id/entri/aneka","aneka","a","n","e","k","a"
"https://kbbi.kemdikbud.go.id/entri/anfal","anfal","a","n","f","a","l"
"https://kbbi.kemdikbud.go.id/entri/anfas","anfas","a","n","f","a","s"
"https://kbbi.kemdikbud.go.id/entri/angah","angah","a","n","g","a","h"
"https://kbbi.kemdikbud.go.id/entri/angan","angan","a","n","g","a","n"
"https://kbbi.kemdikbud.go.id/entri/angau","angau","a","n","g","a","u"
"https://kbbi.kemdikbud.go.id/entri/angel","angel","a","n","g","e","l"
"https://kbbi.kemdikbud.go.id/entri/angga","angga","a","n","g","g","a"
"https://kbbi.kemdikbud.go.id/entri/anggo","anggo","a","n","g","g","o"
"https://kbbi.kemdikbud.go.id/entri/anggu","anggu","a","n","g","g","u"
"https://kbbi.kemdikbud.go.id/entri/angin","angin","a","n","g","i","n"
"https://kbbi.kemdikbud.go.id/entri/angit","angit","a","n","g","i","t"
"https://kbbi.kemdikbud.go.id/entri/angka","angka","a","n","g","k","a"
"https://kbbi.kemdikbud.go.id/entri/angke","angke","a","n","g","k","e"
"https://kbbi.kemdikbud.go.id/entri/angku","angku","a","n","g","k","u"
"https://kbbi.kemdikbud.go.id/entri/anglo","anglo","a","n","g","l","o"
"https://kbbi.kemdikbud.go.id/entri/angon","angon","a","n","g","o","n"
"https://kbbi.kemdikbud.go.id/entri/angop","angop","a","n","g","o","p"
"https://kbbi.kemdikbud.go.id/entri/angot","angot","a","n","g","o","t"
"https://kbbi.kemdikbud.go.id/entri/angsa","angsa","a","n","g","s","a"
"https://kbbi.kemdikbud.go.id/entri/angsu","angsu","a","n","g","s","u"
"https://kbbi.kemdikbud.go.id/entri/angur","angur","a","n","g","u","r"
"https://kbbi.kemdikbud.go.id/entri/angus","angus","a","n","g","u","s"
"https://kbbi.kemdikbud.go.id/entri/angut","angut","a","n","g","u","t"
"https://kbbi.kemdikbud.go.id/entri/anian","anian","a","n","i","a","n"
"https://kbbi.kemdikbud.go.id/entri/anime","anime","a","n","i","m","e"
"https://kbbi.kemdikbud.go.id/entri/animo","animo","a","n","i","m","o"
"https://kbbi.kemdikbud.go.id/entri/anion","anion","a","n","i","o","n"
"https://kbbi.kemdikbud.go.id/entri/anjak","anjak","a","n","j","a","k"
"https://kbbi.kemdikbud.go.id/entri/anjal","anjal","a","n","j","a","l"
"https://kbbi.kemdikbud.go.id/entri/anjar","anjar","a","n","j","a","r"
"https://kbbi.kemdikbud.go.id/entri/anjat","anjat","a","n","j","a","t"
"https://kbbi.kemdikbud.go.id/entri/anjik","anjik","a","n","j","i","k"
"https://kbbi.kemdikbud.go.id/entri/anjir","anjir","a","n","j","i","r"
"https://kbbi.kemdikbud.go.id/entri/anjun","anjun","a","n","j","u","n"
"https://kbbi.kemdikbud.go.id/entri/anjur","anjur","a","n","j","u","r"
"https://kbbi.kemdikbud.go.id/entri/ankum","ankum","a","n","k","u","m"
"https://kbbi.kemdikbud.go.id/entri/anode","anode","a","n","o","d","e"
"https://kbbi.kemdikbud.go.id/entri/anomi","anomi","a","n","o","m","i"
"https://kbbi.kemdikbud.go.id/entri/ansar","ansar","a","n","s","a","r"
"https://kbbi.kemdikbud.go.id/entri/ansor","ansor","a","n","s","o","r"
"https://kbbi.kemdikbud.go.id/entri/antah","antah","a","n","t","a","h"
"https://kbbi.kemdikbud.go.id/entri/antan","antan","a","n","t","a","n"
"https://kbbi.kemdikbud.go.id/entri/antap","antap","a","n","t","a","p"
"https://kbbi.kemdikbud.go.id/entri/antar","antar","a","n","t","a","r"
"https://kbbi.kemdikbud.go.id/entri/antek","antek","a","n","t","e","k"
"https://kbbi.kemdikbud.go.id/entri/antem","antem","a","n","t","e","m"
"https://kbbi.kemdikbud.go.id/entri/antep","antep","a","n","t","e","p"
"https://kbbi.kemdikbud.go.id/entri/antih","antih","a","n","t","i","h"
"https://kbbi.kemdikbud.go.id/entri/antik","antik","a","n","t","i","k"
"https://kbbi.kemdikbud.go.id/entri/antip","antip","a","n","t","i","p"
"https://kbbi.kemdikbud.go.id/entri/antoi","antoi","a","n","t","o","i"
"https://kbbi.kemdikbud.go.id/entri/antol","antol","a","n","t","o","l"
"https://kbbi.kemdikbud.go.id/entri/anton","anton","a","n","t","o","n"
"https://kbbi.kemdikbud.go.id/entri/antop","antop","a","n","t","o","p"
"https://kbbi.kemdikbud.go.id/entri/antre","antre","a","n","t","r","e"
"https://kbbi.kemdikbud.go.id/entri/antri","antri","a","n","t","r","i"
"https://kbbi.kemdikbud.go.id/entri/antui","antui","a","n","t","u","i"
"https://kbbi.kemdikbud.go.id/entri/antuk","antuk","a","n","t","u","k"
